company,domain,country,buyer_type,product_fit,score,grade,evidence_confidence,verified,eligible_for_contact_review,human_label,annotation_reason,hard_gates_failed,next_action,synthetic_demo
Atlas Carton & Conveying,atlas-carton.example,United States,system integrator,packaging equipment,100,A,high,True,True,A_人工确认,连续招聘自动化工程师并在展会发布新整线方案,,"human review, then prepare a one-to-one outreach brief",True
Coastal Pharma Packaging,coastal-pharma-pack.example,Australia,pharma manufacturer,packaging equipment,100,A,high,True,True,HOLD_技术认证,需求信号明确，但药品设备需要先核对认证和验证能力,,"human review, then prepare a one-to-one outreach brief",True
Evergreen Fill & Pack,evergreen-fillpack.example,United States,equipment distributor,packaging equipment,100,A,high,True,True,A_人工确认,两个近期采购/渠道信号，官网列出多个食品客户行业,,"human review, then prepare a one-to-one outreach brief",True
Gulf Meridian Equipment,gulf-meridian.example,United Arab Emirates,equipment distributor,packaging equipment,100,A,high,True,True,A_人工确认,代理品牌缺口和供应商登记同时出现，适合先发合作资料,,"human review, then prepare a one-to-one outreach brief",True
Maple Route Machinery,maple-route-machinery.example,Canada,equipment distributor,packaging equipment,100,A,high,True,True,HOLD_地区规则,公司和产品匹配，但加拿大联系规则需要单独确认，暂不自动联系,,"human review, then prepare a one-to-one outreach brief",True
Nordlicht Food Automation,nordlicht-food.example,Germany,system integrator,packaging equipment,100,B,high,True,False,HOLD_联系合规,商业信号较强，但当前只有实名个人邮箱，需人工确认联系依据,contact route is not an approved corporate/authorized route,enrich evidence or wait for a second current signal,True
Westland Cartoning Group,westland-cartoning.example,Netherlands,system integrator,packaging equipment,100,B,high,True,False,C_禁止联系,客户已明确拒绝供应商营销，进入抑制名单,suppressed or opted out,enrich evidence or wait for a second current signal,True
Eastgate Machinery Services,eastgate-machinery.example,United States,equipment service provider,packaging equipment,95,A,high,True,True,B_角色待确认,服务商可能影响设备采购，但需要确认是否代理或仅提供维修,,"human review, then prepare a one-to-one outreach brief",True
Blue Harbor Process Partners,blueharbor-process.example,Singapore,equipment distributor,packaging equipment,90,B,medium,True,False,B_补第二信号,产品匹配但只有经销商品类缺口，暂不推断有采购计划,evidence is not cross-checked across two source types; fewer than two distinct intent signals,enrich evidence or wait for a second current signal,True
Sunrise Label & Pack,sunrise-label-pack.example,Malaysia,equipment distributor,packaging equipment,90,A,high,True,True,B_预算待确认,有代理缺口但规模较小，先确认是否有技术和售后能力,,"human review, then prepare a one-to-one outreach brief",True
Golden Grain Processors,golden-grain.example,Thailand,food manufacturer,food-processing equipment,85,A,high,True,True,A_人工确认,新工厂、设备工程师招聘和采购咨询页同时出现,,"human review, then prepare a one-to-one outreach brief",True
Sierra Mesa Beverage Group,sierramesa-beverage.example,Mexico,beverage manufacturer,food-processing equipment,85,A,high,True,True,A_人工确认,新产线、设备维护招聘和行业展会三个信号，适合技术型简报,,"human review, then prepare a one-to-one outreach brief",True
Riverton Packaging Systems,riverton-packaging.example,United Kingdom,system integrator,packaging and food-processing equipment,80,B,medium,False,False,A_人工确认,扩建项目和包装工程师招聘指向明确，建议先走官网合作表单,company could not be verified from an authoritative source,enrich evidence or wait for a second current signal,True
Old Harbor Export Training,old-harbor-training.example,United States,training agency,training service,75,C,high,True,False,C_排除,培训机构，不属于目标买家,excluded business type,archive or suppress; do not contact,True
Pacific Grove Foods,pacific-grove-foods.example,Australia,food manufacturer,packaging equipment,75,B,medium,False,False,B_补证据,只有扩产新闻，尚未确认设备类别和采购时间,company could not be verified from an authoritative source; evidence is not cross-checked across two source types; fewer than two distinct intent signals,enrich evidence or wait for a second current signal,True
Peakline AI Marketing Studio,peakline-ai.example,United States,AI company,AI marketing service,75,C,high,True,False,C_排除,属于AI营销服务商，不是包装设备买家,excluded business type,archive or suppress; do not contact,True
Westbridge Import Network,westbridge-import.example,United States,equipment distributor,packaging equipment,70,B,medium,True,False,C_信息不足,只有目录收录，没有公司官网或近期需求证据,evidence is not cross-checked across two source types; fewer than two distinct intent signals; no current evidence within 90 days,enrich evidence or wait for a second current signal,True
Andes Harvest Cooperative,andes-harvest.example,Chile,food manufacturer,food-processing equipment,63,B,medium,True,False,B_补第二信号,展会记录真实感较强，但没有近期扩产或供应商征集,evidence is not cross-checked across two source types; fewer than two distinct intent signals,enrich evidence or wait for a second current signal,True
